Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
Aerogel,Cerámicos,120.00,10.00,0.00,0.00,0.02,0.00,1.00,4.80,773.00,www.matweb,2020-2
Manta Aislamiento Zirconia-alumina,Cerámicos,130.00,96.00,205.00,400.00,1400.00,,100.00,5.60,2281.15,DiaTerm. interempresas. MatWeb,Diego Rojas
OXIDO DE SILICIO,Cerámicos,8.00,180.00,66.30,,300.00,,3500.00,0.67,1988.15,MATWEB,2020-2
Acetato Butirado de Celulosa,Cerámicos,164.00,800.00,50.00,,300.00,,340.00,2.50,,Matweb. Precio ,Nikolai Fandiño
Bentonita,Cerámicos,3.12,1360.00,2.00,1.56,55.00,20.00,250.00,3.40,1473.15,researchgate . Matweb .  skb. marphil,Diego Rojas
Arenisca suave,Cerámicos,2.00,1600.00,1.00,,0.00,,89.00,5.60,,Matweb,Pablo Galvis
Porcelana,Cerámicos,4.20,1730.00,55.00,,21.00,,2000.00,0.67,1370.00,srvcalidad,2020-2
CeramTec 447 Cordierite,Cerámicos,20.00,1800.00,125.00,17.20,123.00,,280.00,12.00,1373.15,Matweb. Costos,Argoty Avance 8
Cemento Portland,Cerámicos,0.23,2010.00,33.00,,0.91,0.00,420.00,7.90,1873.15,Matweb. Propiedades. Precio,Daisy Gutiérrez
Nitruro de Boro,Cerámicos,1704.00,2030.00,55.00,,25.00,0.00,5000.00,3.90,3246.00,Azom. Temperatura. Propiedades. Precio,2020-2
Arenisca Dura,Cerámicos,2.50,2100.00,60.00,,0.02,,344.00,1.50,,Matweb,Pablo Galvis
Dióxido de silicio,Cerámicos,20.00,2100.00,65.00,,69.00,0.00,610.00,7.00,1986.00,Azom . Temperatura. Propiedades . Precio,2020-2
Vidrio de cuarzo,Cerámicos,43.00,2200.00,72.00,30.00,48.00,0.00,1260.00,1.10,1300,Matweb . Azom .Precio,Laura Moreno
Cuarzo fundido,Cerámicos,36.00,2200.00,75.00,,700.00,,1000.00,1.50,1988.15,http://www.matweb.com/,2020-2
Silicato de titanio. 7971,Cerámicos,7.72,2205.00,68.00,30.30,30.30,0.05,90.85,6.40,1280,Ces Edupack 2019,ivan gongora 
Vidrio Pyrex,Cerámicos,3.00,2230.00,67.00,,300.00,,700.00,0.80,1700.00,MATWEB,2020-2
Grafito,Cerámicos,0.33,2260.00,10.00,,98.00,,200.00,1.45,3800.00, hojas-de-grafito,2020-2
SIGRAFINE® EK3205,Cerámicos,35.00,2300.00,30.00,85.00,260.00,,120.00,9.60,823.15,Sglcarbon. Costos,Argoty Avance 10
CORDIERTIA,Cerámicos,200.00,2300.00,125.00,40.00,15.00,,300.00,0.99,1100.00,MATWEB,2020-2
Yeso,Cerámicos,0.33,2320.00,24.00,,12.00,,24.00,0.46,1723.15,http://www.matweb.com/,2020-2
Concreto,Cerámicos,0.34,2400.00,41.00,,40.00,5.00,400.00,1.40,,,2020-2
Caliza,Cerámicos,10.10,2400.00,45.00,,32.00,,400.00,0.77,1172.00,http://www.matweb.com/,2020-2
VIDRIO DE BOROSILICATO,Cerámicos,8.82,2400.00,70.00,,280.00,,600.00,0.77,1073.15,MATWEB,2020-2
Piropilita tratada termicamente a 1250 °C,Cerámicos,1038.00,2400.00,300.00,34.40,151.60,,858.00,3.90,1873.15,Mathmatch. Costos,Argoty Avance 9
ANDESITA,Cerámicos,24.00,2425.00,40.00,,32.00,,400.00,0.76,1400.00,MATWEB,2020-2
BORURO DE CALCIO,Cerámicos,150.00,2430.00,451.00,,600.00,,1110.00,2.80,2508.15,MATWEB,2020-2
Gres,Cerámicos,13.00,2450.00,70.00,,11.00,25.00,5.50,1.30,1473.15,materconstrucc.revistas,2020-2
Óxido de boro,Cerámicos,6.00,2460.00,410.00,,350.00,,1000.00,3.20,753.00,Boron_trioxide,2020-2
Vidrio de cal sodada. 0080,Cerámicos,1.54,2465.00,70.00,32.60,32.60,0.05,461.50,6.45,790,Ces Edupack 2019,ivan gongora 
Serpentina,Cerámicos,13.80,2500.00,45.00,,23.00,,400.00,1.20,1808.15,http://www.matweb.com/,2020-2
Carburo de boro,Cerámicos,25.00,2500.00,400.00,,410.00,0.00,3200.00,4.20,2680.00,Azom . GoodFellow . Precio,2020-2
Vitrocerámica Mecanizable ,Cerámicos,32.50,2520.00,65.00,,34.00,0.00,400.00,1.54,1589.00,Azom. GoodFellow. Temperatura. Propiedades. Precio,2020-2
Ceramica de Vidrio Mecanizable,Cerámicos,247.00,2520.00,66.90,,25.50,,450.00,1.53,,Matweb. Precio ,Nikolai Fandiño
Granito,Cerámicos,1.00,2600.00,40.00,,9.50,,500.00,2.24,1500.00,http://www.matweb.com/,2020-2
Marmol,Cerámicos,1.80,2600.00,60.00,75.00,10.00,,700.00,0.53,573.20,http://www.matweb.com/,2020-2
Cuarzo cristalino,Cerámicos,280.00,2649.00,87.00,,700.00,,1161.00,0.57,1743.15,Matweb. Propiedades. Precio,Daisy Gutiérrez
Esteatita,Cerámicos,13.00,2650.00,103.00,,103.00,,530.00,2.00,1903.00,Coorstek .Temperatura. STC. Propiedades. Precio,2020-2
Vidrio transparente de estroncio alcalino. 9068,Cerámicos,7.24,2675.00,68.90,30.75,30.75,0.05,91.25,6.34,779,Ces Edupack 2019,ivan gongora 
